<<<<<<< Updated upstream
PassengerId,Pclass,Age,SibSp,Parch,Fare,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S
-1.0,0.0,-0.38235294117647056,1.0,0.0,-0.3120106021758714,False,True,False,False,True
-0.9977528089887641,-2.0,0.5588235294117647,1.0,0.0,2.4612422909015312,True,False,True,False,False
-0.9955056179775281,0.0,-0.14705882352941177,0.0,0.0,-0.2827766613540295,True,False,False,False,True
-0.9932584269662922,-2.0,0.38235294117647056,1.0,0.0,1.6737318966114614,True,False,False,False,True
-0.9910112359550561,0.0,0.38235294117647056,0.0,0.0,-0.277362968609244,False,True,False,False,True
-0.9887640449438202,0.0,0.11764705882352941,0.0,0.0,-0.25967968262767654,False,True,False,True,False
-0.9865168539325843,-2.0,1.5,0.0,0.0,1.6201363384380845,False,True,False,False,True
-0.9842696629213483,0.0,-1.5588235294117647,3.0,1.0,0.2867438153974083,False,True,False,False,True
-0.9820224719101124,0.0,-0.08823529411764706,0.0,2.0,-0.14382665788926616,True,False,False,False,True
-0.9797752808988764,-1.0,-0.8529411764705882,1.0,0.0,0.6763477929457417,True,False,True,False,False
-0.9775280898876404,0.0,-1.4411764705882353,1.0,1.0,0.09726456932991473,True,False,False,False,True
-0.9752808988764045,-2.0,1.7352941176470589,0.0,0.0,0.5238635576190146,True,False,False,False,True
-0.9730337078651685,0.0,-0.5,0.0,0.0,-0.277362968609244,False,True,False,False,True
-0.9707865168539326,0.0,0.6176470588235294,1.0,5.0,0.7285011433719076,False,True,False,False,True
-0.9685393258426966,0.0,-0.8529411764705882,0.0,0.0,-0.2858429769246761,True,False,False,False,True
-0.9662921348314607,-1.0,1.5588235294117647,0.0,0.0,0.06694788995911578,True,False,False,False,True
-0.9640449438202248,0.0,-1.5588235294117647,4.0,1.0,0.6353856281615965,False,True,False,True,False
-0.9617977528089887,-1.0,0.9411764705882353,0.0,0.0,-0.06298073591573695,False,True,False,False,True
-0.9595505617977528,0.0,0.14705882352941177,1.0,0.0,0.15356697387568427,True,False,False,False,True
-0.9573033707865168,0.0,-0.8235294117647058,0.0,0.0,-0.31309334072482853,True,False,True,False,False
-0.9550561797752809,-1.0,0.38235294117647056,0.0,0.0,0.5000433095419583,False,True,False,False,True
-0.952808988764045,-1.0,0.3235294117647059,0.0,0.0,-0.06298073591573695,False,True,False,False,True
-0.950561797752809,0.0,-0.7941176470588235,0.0,0.0,-0.27826380708197634,True,False,False,True,False
-0.9483146067415731,-2.0,-0.029411764705882353,0.0,0.0,0.9114839581456586,False,True,False,False,True
-0.946067415730337,0.0,-1.2058823529411764,3.0,1.0,0.2867438153974083,True,False,False,False,True
-0.9438202247191011,0.0,0.5588235294117647,1.0,5.0,0.7333734668422146,True,False,False,False,True
-0.9415730337078652,0.0,-0.23529411764705882,0.0,0.0,-0.31309334072482853,False,True,True,False,False
-0.9393258426966292,-2.0,-0.5588235294117647,3.0,2.0,10.764404753655324,False,True,False,False,True
-0.9370786516853933,0.0,0.7058823529411765,0.0,0.0,-0.28476023837571895,True,False,False,True,False
-0.9348314606741573,0.0,0.7058823529411765,0.0,0.0,-0.2840412999792114,False,True,False,False,True
-0.9325842696629213,-2.0,0.6764705882352942,0.0,0.0,0.5745703693437738,False,True,True,False,False
-0.9303370786516854,-2.0,0.47058823529411764,1.0,0.0,5.719743953987942,True,False,True,False,False
-0.9280898876404494,0.0,0.8823529411764706,0.0,0.0,-0.29035583119672925,True,False,False,True,False
-0.9258426966292135,-1.0,2.2058823529411766,0.0,0.0,-0.1712545908114476,False,True,False,False,True
-0.9235955056179775,-2.0,-0.029411764705882353,1.0,0.0,2.9327749289723513,False,True,True,False,False
